label,Type,Value
Merthyr Tydfil,Owns Outright,8277
Caerphilly,Owns Outright,24188
Blaenau Gwent,Owns Outright,10019
Torfaen,Owns Outright,12176
Monmouthshire,Owns Outright,15269
Newport,Owns Outright,18229
Aberdeen City,Owns Outright,25901
Aberdeenshire,Owns Outright,36486
Angus,Owns Outright,16875
Argyll and Bute,Owns Outright,15103
Clackmannanshire,Owns Outright,6027
Dumfries and Galloway,Owns Outright,25270
Dundee City,Owns Outright,15971
East Ayrshire,Owns Outright,14062
East Dunbartonshire,Owns Outright,17288
East Lothian,Owns Outright,12424
East Renfrewshire,Owns Outright,14308
City of Edinburgh,Owns Outright,60420
Na h-Eileanan Siar,Owns Outright,5894
Falkirk,Owns Outright,17751
Fife,Owns Outright,47316
Glasgow City,Owns Outright,48667
Highland,Owns Outright,36716
Inverclyde,Owns Outright,9876
Midlothian,Owns Outright,9633
Moray,Owns Outright,13970
North Ayrshire,Owns Outright,17796
North Lanarkshire,Owns Outright,31376
Orkney Islands,Owns Outright,4292
Perth and Kinross,Owns Outright,22099
Renfrewshire,Owns Outright,20520
Scottish Borders,Owns Outright,17447
Shetland Islands,Owns Outright,3727
South Ayrshire,Owns Outright,18041
South Lanarkshire,Owns Outright,37920
Stirling,Owns Outright,12076
West Dunbartonshire,Owns Outright,8981
West Lothian,Owns Outright,16410
Antrim,Owns Outright,6211
Ards,Owns Outright,10957
Armagh,Owns Outright,8380
Ballymena,Owns Outright,9550
Ballymoney,Owns Outright,4087
Banbridge,Owns Outright,6216
Belfast,Owns Outright,27904
Carrickfergus,Owns Outright,4804
Castlereagh,Owns Outright,9356
Coleraine,Owns Outright,8477
Cookstown,Owns Outright,5081
Craigavon,Owns Outright,10523
Derry,Owns Outright,9840
Down,Owns Outright,9166
Dungannon,Owns Outright,7460
Fermanagh,Owns Outright,9847
Larne,Owns Outright,4771
Limavady,Owns Outright,4025
Lisburn,Owns Outright,13718
Magherafelt,Owns Outright,5987
Moyle,Owns Outright,2679
Newry and Mourne,Owns Outright,12219
Newtownabbey,Owns Outright,10512
North Down,Owns Outright,11693
Omagh,Owns Outright,7273
Strabane,Owns Outright,5109
Darlington,Owns with a mortgage or loan or shared ownership,16657
County Durham,Owns with a mortgage or loan or shared ownership,78400
Hartlepool,Owns with a mortgage or loan or shared ownership,13304
Middlesbrough,Owns with a mortgage or loan or shared ownership,17859
Northumberland,Owns with a mortgage or loan or shared ownership,45631
Redcar and Cleveland,Owns with a mortgage or loan or shared ownership,20155
Stockton-on-Tees,Owns with a mortgage or loan or shared ownership,31195
Gateshead,Owns with a mortgage or loan or shared ownership,29197
Newcastle upon Tyne,Owns with a mortgage or loan or shared ownership,32186
North Tyneside,Owns with a mortgage or loan or shared ownership,33899
South Tyneside,Owns with a mortgage or loan or shared ownership,21627
Sunderland,Owns with a mortgage or loan or shared ownership,39499
Blackburn with Darwen,Owns with a mortgage or loan or shared ownership,19044
Blackpool,Owns with a mortgage or loan or shared ownership,20571
Cheshire East,Owns with a mortgage or loan or shared ownership,59699
Cheshire West and Chester,Owns with a mortgage or loan or shared ownership,52064
Halton,Owns with a mortgage or loan or shared ownership,19682
Warrington,Owns with a mortgage or loan or shared ownership,34346
Cumbria,Owns with a mortgage or loan or shared ownership,71137
Bolton,Owns with a mortgage or loan or shared ownership,39397
Bury,Owns with a mortgage or loan or shared ownership,29803
Manchester,Owns with a mortgage or loan or shared ownership,47731
Oldham,Owns with a mortgage or loan or shared ownership,31418
Rochdale,Owns with a mortgage or loan or shared ownership,30155
Salford,Owns with a mortgage or loan or shared ownership,30031
Stockport,Owns with a mortgage or loan or shared ownership,47542
Tameside,Owns with a mortgage or loan or shared ownership,34179
Trafford,Owns with a mortgage or loan or shared ownership,35688
Wigan,Owns with a mortgage or loan or shared ownership,50444
Lancashire,Owns with a mortgage or loan or shared ownership,177520
Knowsley,Owns with a mortgage or loan or shared ownership,22178
Liverpool,Owns with a mortgage or loan or shared ownership,54240
Sefton,Owns with a mortgage or loan or shared ownership,41467
St. Helens,Owns with a mortgage or loan or shared ownership,26164
Wirral,Owns with a mortgage or loan or shared ownership,48750
East Riding of Yorkshire,Owns with a mortgage or loan or shared ownership,51999
"Kingston upon Hull, City of",Owns with a mortgage or loan or shared ownership,33935
North East Lincolnshire,Owns with a mortgage or loan or shared ownership,24786
North Lincolnshire,Owns with a mortgage or loan or shared ownership,25961
York,Owns with a mortgage or loan or shared ownership,27507
North Yorkshire,Owns with a mortgage or loan or shared ownership,81516
Barnsley,Owns with a mortgage or loan or shared ownership,34474
Doncaster,Owns with a mortgage or loan or shared ownership,43925
Rotherham,Owns with a mortgage or loan or shared ownership,37888
Sheffield,Owns with a mortgage or loan or shared ownership,72679
Bradford,Owns with a mortgage or loan or shared ownership,72228
Calderdale,Owns with a mortgage or loan or shared ownership,31707
Kirklees,Owns with a mortgage or loan or shared ownership,61404
Leeds,Owns with a mortgage or loan or shared ownership,104524
Wakefield,Owns with a mortgage or loan or shared ownership,49175
Derby,Owns with a mortgage or loan or shared ownership,33390
Leicester,Owns with a mortgage or loan or shared ownership,33926
Nottingham,Owns with a mortgage or loan or shared ownership,32501
Rutland,Owns with a mortgage or loan or shared ownership,4827
Derbyshire,Owns with a mortgage or loan or shared ownership,118230
Leicestershire,Owns with a mortgage or loan or shared ownership,105459
Lincolnshire,Owns with a mortgage or loan or shared ownership,102215
Northamptonshire,Owns with a mortgage or loan or shared ownership,113978
Nottinghamshire,Owns with a mortgage or loan or shared ownership,121659
"Herefordshire, County of",Owns with a mortgage or loan or shared ownership,22917
Shropshire,Owns with a mortgage or loan or shared ownership,40520
Stoke-on-Trent,Owns with a mortgage or loan or shared ownership,33719
Telford and Wrekin,Owns with a mortgage or loan or shared ownership,24603
Staffordshire,Owns with a mortgage or loan or shared ownership,129997
Warwickshire,Owns with a mortgage or loan or shared ownership,83928
Birmingham,Owns with a mortgage or loan or shared ownership,124140
Coventry,Owns with a mortgage or loan or shared ownership,40986
Dudley,Owns with a mortgage or loan or shared ownership,44628
Sandwell,Owns with a mortgage or loan or shared ownership,37583
Solihull,Owns with a mortgage or loan or shared ownership,31859
Walsall,Owns with a mortgage or loan or shared ownership,34350
Wolverhampton,Owns with a mortgage or loan or shared ownership,28815
Worcestershire,Owns with a mortgage or loan or shared ownership,85380
Bedford,Owns with a mortgage or loan or shared ownership,22584
Central Bedfordshire,Owns with a mortgage or loan or shared ownership,43578
Luton,Owns with a mortgage or loan or shared ownership,26365
Peterborough,Owns with a mortgage or loan or shared ownership,25432
Southend-on-Sea,Owns with a mortgage or loan or shared ownership,26012
Thurrock,Owns with a mortgage or loan or shared ownership,25681
Cambridgeshire,Owns with a mortgage or loan or shared ownership,88652
Essex,Owns with a mortgage or loan or shared ownership,216590
Hertfordshire,Owns with a mortgage or loan or shared ownership,170972
Norfolk,Owns with a mortgage or loan or shared ownership,112756
Suffolk,Owns with a mortgage or loan or shared ownership,99980
Camden,Owns with a mortgage or loan or shared ownership,15398
City of London,Owns with a mortgage or loan or shared ownership,775
Hackney,Owns with a mortgage or loan or shared ownership,17956
Hammersmith and Fulham,Owns with a mortgage or loan or shared ownership,15877
Haringey,Owns with a mortgage or loan or shared ownership,24810
Islington,Owns with a mortgage or loan or shared ownership,17184
Kensington and Chelsea,Owns with a mortgage or loan or shared ownership,10774
Lambeth,Owns with a mortgage or loan or shared ownership,30094
Lewisham,Owns with a mortgage or loan or shared ownership,33391
Newham,Owns with a mortgage or loan or shared ownership,22635
Southwark,Owns with a mortgage or loan or shared ownership,25978
Tower Hamlets,Owns with a mortgage or loan or shared ownership,18287
Wandsworth,Owns with a mortgage or loan or shared ownership,37237
Westminster,Owns with a mortgage or loan or shared ownership,14480
Barking and Dagenham,Owns with a mortgage or loan or shared ownership,21322
Barnet,Owns with a mortgage or loan or shared ownership,41436
Bexley,Owns with a mortgage or loan or shared ownership,37781
Brent,Owns with a mortgage or loan or shared ownership,26544
Bromley,Owns with a mortgage or loan or shared ownership,50172
Croydon,Owns with a mortgage or loan or shared ownership,52203
Ealing,Owns with a mortgage or loan or shared ownership,37180
Enfield,Owns with a mortgage or loan or shared ownership,39097
Greenwich,Owns with a mortgage or loan or shared ownership,28714
Harrow,Owns with a mortgage or loan or shared ownership,29576
Havering,Owns with a mortgage or loan or shared ownership,37659
Hillingdon,Owns with a mortgage or loan or shared ownership,36370
Hounslow,Owns with a mortgage or loan or shared ownership,29759
Kingston upon Thames,Owns with a mortgage or loan or shared ownership,23469
Merton,Owns with a mortgage or loan or shared ownership,27200
Redbridge,Owns with a mortgage or loan or shared ownership,36075
Richmond upon Thames,Owns with a mortgage or loan or shared ownership,27595
Sutton,Owns with a mortgage or loan or shared ownership,31406
Waltham Forest,Owns with a mortgage or loan or shared ownership,29983
Bracknell Forest,Owns with a mortgage or loan or shared ownership,20526
Brighton and Hove,Owns with a mortgage or loan or shared ownership,37438
Isle of Wight,Owns with a mortgage or loan or shared ownership,18088
Medway,Owns with a mortgage or loan or shared ownership,42270
Milton Keynes,Owns with a mortgage or loan or shared ownership,41741
Portsmouth,Owns with a mortgage or loan or shared ownership,27106
Reading,Owns with a mortgage or loan or shared ownership,21387
Slough,Owns with a mortgage or loan or shared ownership,17939
Southampton,Owns with a mortgage or loan or shared ownership,28600
West Berkshire,Owns with a mortgage or loan or shared ownership,24675
Windsor and Maidenhead,Owns with a mortgage or loan or shared ownership,21021
Wokingham,Owns with a mortgage or loan or shared ownership,27321
Buckinghamshire,Owns with a mortgage or loan or shared ownership,78014
East Sussex,Owns with a mortgage or loan or shared ownership,74076
Hampshire,Owns with a mortgage or loan or shared ownership,206522
Kent,Owns with a mortgage or loan or shared ownership,212708
Oxfordshire,Owns with a mortgage or loan or shared ownership,88930
Surrey,Owns with a mortgage or loan or shared ownership,178128
West Sussex,Owns with a mortgage or loan or shared ownership,121226
Bath and North East Somerset,Owns with a mortgage or loan or shared ownership,23609
Bournemouth,Owns with a mortgage or loan or shared ownership,24806
"Bristol, City of",Owns with a mortgage or loan or shared ownership,55165
Cornwall,Owns with a mortgage or loan or shared ownership,68168
Isles of Scilly,Owns with a mortgage or loan or shared ownership,107
North Somerset,Owns with a mortgage or loan or shared ownership,32433
Plymouth,Owns with a mortgage or loan or shared ownership,35235
Poole,Owns with a mortgage or loan or shared ownership,22540
South Gloucestershire,Owns with a mortgage or loan or shared ownership,44033
Swindon,Owns with a mortgage or loan or shared ownership,36271
Torbay,Owns with a mortgage or loan or shared ownership,18475
Wiltshire,Owns with a mortgage or loan or shared ownership,66812
Devon,Owns with a mortgage or loan or shared ownership,98805
Dorset,Owns with a mortgage or loan or shared ownership,53636
Gloucestershire,Owns with a mortgage or loan or shared ownership,88575
Somerset,Owns with a mortgage or loan or shared ownership,73618
Isle of Anglesey,Owns with a mortgage or loan or shared ownership,8590
Gwynedd,Owns with a mortgage or loan or shared ownership,13327
Conwy,Owns with a mortgage or loan or shared ownership,15470
Denbighshire,Owns with a mortgage or loan or shared ownership,13122
Flintshire,Owns with a mortgage or loan or shared ownership,24394
Wrexham,Owns with a mortgage or loan or shared ownership,19119
Powys,Owns with a mortgage or loan or shared ownership,14643
Ceredigion,Owns with a mortgage or loan or shared ownership,7612
Pembrokeshire,Owns with a mortgage or loan or shared ownership,14391
Carmarthenshire,Owns with a mortgage or loan or shared ownership,23856
Swansea,Owns with a mortgage or loan or shared ownership,31991
Neath Port Talbot,Owns with a mortgage or loan or shared ownership,19614
Bridgend,Owns with a mortgage or loan or shared ownership,22032
Vale of Glamorgan,Owns with a mortgage or loan or shared ownership,19818
Cardiff,Owns with a mortgage or loan or shared ownership,47113
Rhondda Cynon Taff,Owns with a mortgage or loan or shared ownership,34572
Merthyr Tydfil,Owns with a mortgage or loan or shared ownership,7608
Caerphilly,Owns with a mortgage or loan or shared ownership,27660
Blaenau Gwent,Owns with a mortgage or loan or shared ownership,8905
Torfaen,Owns with a mortgage or loan or shared ownership,13541
Monmouthshire,Owns with a mortgage or loan or shared ownership,13014
Newport,Owns with a mortgage or loan or shared ownership,21368
Aberdeen City,Owns with a mortgage or loan or shared ownership,33308
Aberdeenshire,Owns with a mortgage or loan or shared ownership,39564
Angus,Owns with a mortgage or loan or shared ownership,16625
Argyll and Bute,Owns with a mortgage or loan or shared ownership,11575
Clackmannanshire,Owns with a mortgage or loan or shared ownership,8079
Dumfries and Galloway,Owns with a mortgage or loan or shared ownership,18343
Dundee City,Owns with a mortgage or loan or shared ownership,18914
East Ayrshire,Owns with a mortgage or loan or shared ownership,19336
East Dunbartonshire,Owns with a mortgage or loan or shared ownership,18076
East Lothian,Owns with a mortgage or loan or shared ownership,15650
East Renfrewshire,Owns with a mortgage or loan or shared ownership,16216
City of Edinburgh,Owns with a mortgage or loan or shared ownership,72399
Na h-Eileanan Siar,Owns with a mortgage or loan or shared ownership,3297
Falkirk,Owns with a mortgage or loan or shared ownership,26731
Fife,Owns with a mortgage or loan or shared ownership,56950
Glasgow City,Owns with a mortgage or loan or shared ownership,81550
Highland,Owns with a mortgage or loan or shared ownership,31884
Inverclyde,Owns with a mortgage or loan or shared ownership,13288
Midlothian,Owns with a mortgage or loan or shared ownership,13069
Moray,Owns with a mortgage or loan or shared ownership,12439
North Ayrshire,Owns with a mortgage or loan or shared ownership,21075
North Lanarkshire,Owns with a mortgage or loan or shared ownership,57496
Orkney Islands,Owns with a mortgage or loan or shared ownership,2621
Perth and Kinross,Owns with a mortgage or loan or shared ownership,20595
Renfrewshire,Owns with a mortgage or loan or shared ownership,31878
Scottish Borders,Owns with a mortgage or loan or shared ownership,14854
Shetland Islands,Owns with a mortgage or loan or shared ownership,2779
South Ayrshire,Owns with a mortgage or loan or shared ownership,17375
South Lanarkshire,Owns with a mortgage or loan or shared ownership,57135
Stirling,Owns with a mortgage or loan or shared ownership,12802
West Dunbartonshire,Owns with a mortgage or loan or shared ownership,14426
West Lothian,Owns with a mortgage or loan or shared ownership,30014
Antrim,Owns with a mortgage or loan or shared ownership,8161
Ards,Owns with a mortgage or loan or shared ownership,12346
Armagh,Owns with a mortgage or loan or shared ownership,7548
Ballymena,Owns with a mortgage or loan or shared ownership,8294
Ballymoney,Owns with a mortgage or loan or shared ownership,4033
Banbridge,Owns with a mortgage or loan or shared ownership,7329
Belfast,Owns with a mortgage or loan or shared ownership,35115
Carrickfergus,Owns with a mortgage or loan or shared ownership,6943
Castlereagh,Owns with a mortgage or loan or shared ownership,11540
Coleraine,Owns with a mortgage or loan or shared ownership,7108
Cookstown,Owns with a mortgage or loan or shared ownership,4395
Craigavon,Owns with a mortgage or loan or shared ownership,13406
Derry,Owns with a mortgage or loan or shared ownership,13760
Down,Owns with a mortgage or loan or shared ownership,9540
Dungannon,Owns with a mortgage or loan or shared ownership,6568
Fermanagh,Owns with a mortgage or loan or shared ownership,6935
Larne,Owns with a mortgage or loan or shared ownership,4870
Limavady,Owns with a mortgage or loan or shared ownership,4367
Lisburn,Owns with a mortgage or loan or shared ownership,18968
Magherafelt,Owns with a mortgage or loan or shared ownership,5119
Moyle,Owns with a mortgage or loan or shared ownership,1798
Newry and Mourne,Owns with a mortgage or loan or shared ownership,12352
Newtownabbey,Owns with a mortgage or loan or shared ownership,14740
North Down,Owns with a mortgage or loan or shared ownership,13438
Omagh,Owns with a mortgage or loan or shared ownership,5668
Strabane,Owns with a mortgage or loan or shared ownership,4565
Darlington,Social Rented,14456
County Durham,Social Rented,90008
Hartlepool,Social Rented,19030
Middlesbrough,Social Rented,27308
Northumberland,Social Rented,51682
Redcar and Cleveland,Social Rented,23136
Stockton-on-Tees,Social Rented,27250
Gateshead,Social Rented,49882
Newcastle upon Tyne,Social Rented,69700
North Tyneside,Social Rented,39354
South Tyneside,Social Rented,42408
Sunderland,Social Rented,64798
Blackburn with Darwen,Social Rented,20782
Blackpool,Social Rented,13998
Cheshire East,Social Rented,36282
Cheshire West and Chester,Social Rented,41616
Halton,Social Rented,26882
Warrington,Social Rented,26636
Cumbria,Social Rented,63556
Bolton,Social Rented,47650
Bury,Social Rented,23406
Manchester,Social Rented,129364
Oldham,Social Rented,37836
Rochdale,Social Rented,40494
Salford,Social Rented,59638
Stockport,Social Rented,33240
Tameside,Social Rented,40876
Trafford,Social Rented,30970
Wigan,Social Rented,51606
Lancashire,Social Rented,120516
Knowsley,Social Rented,32666
Liverpool,Social Rented,114970
Sefton,Social Rented,34126
St. Helens,Social Rented,31194
Wirral,Social Rented,42658
East Riding of Yorkshire,Social Rented,26056
"Kingston upon Hull, City of",Social Rented,63268
North East Lincolnshire,Social Rented,20182
North Lincolnshire,Social Rented,21790
York,Social Rented,23358
North Yorkshire,Social Rented,57294
Barnsley,Social Rented,42064
Doncaster,Social Rented,44806
Rotherham,Social Rented,46578
Sheffield,Social Rented,113834
Bradford,Social Rented,59026
Calderdale,Social Rented,26988
Kirklees,Social Rented,53050
Leeds,Social Rented,140754
Wakefield,Social Rented,66258
Derby,Social Rented,40500
Leicester,Social Rented,62540
Nottingham,Social Rented,74972
Rutland,Social Rented,3370
Derbyshire,Social Rented,101910
Leicestershire,Social Rented,56034
Lincolnshire,Social Rented,83536
Northamptonshire,Social Rented,87816
Nottinghamshire,Social Rented,90168
"Herefordshire, County of",Social Rented,21806
Shropshire,Social Rented,34896
Stoke-on-Trent,Social Rented,51998
Telford and Wrekin,Social Rented,26212
Staffordshire,Social Rented,104302
Warwickshire,Social Rented,63848
Birmingham,Social Rented,199184
Coventry,Social Rented,43828
Dudley,Social Rented,51438
Sandwell,Social Rented,66878
Solihull,Social Rented,25668
Walsall,Social Rented,51934
Wolverhampton,Social Rented,57296
Worcestershire,Social Rented,71052
Bedford,Social Rented,20504
Central Bedfordshire,Social Rented,27962
Luton,Social Rented,23430
Peterborough,Social Rented,28868
Southend-on-Sea,Social Rented,17194
Thurrock,Social Rented,23006
Cambridgeshire,Social Rented,77012
Essex,Social Rented,166804
Hertfordshire,Social Rented,165086
Norfolk,Social Rented,118594
Suffolk,Social Rented,92202
Camden,Social Rented,64590
City of London,Social Rented,1450
Hackney,Social Rented,88860
Hammersmith and Fulham,Social Rented,50266
Haringey,Social Rented,54484
Islington,Social Rented,78684
Kensington and Chelsea,Social Rented,38542
Lambeth,Social Rented,91238
Lewisham,Social Rented,72104
Newham,Social Rented,60184
Southwark,Social Rented,105288
Tower Hamlets,Social Rented,80212
Wandsworth,Social Rented,53032
Westminster,Social Rented,54696
Barking and Dagenham,Social Rented,46918
Barnet,Social Rented,38668
Bexley,Social Rented,26754
Brent,Social Rented,53182
Bromley,Social Rented,36850
Croydon,Social Rented,51774
Ealing,Social Rented,44944
Enfield,Social Rented,42146
Greenwich,Social Rented,69324
Harrow,Social Rented,17846
Havering,Social Rented,27598
Hillingdon,Social Rented,33504
Hounslow,Social Rented,43364
Kingston upon Thames,Social Rented,15004
Merton,Social Rented,22204
Redbridge,Social Rented,22578
Richmond upon Thames,Social Rented,20102
Sutton,Social Rented,22844
Waltham Forest,Social Rented,42752
Bracknell Forest,Social Rented,15356
Brighton and Hove,Social Rented,36374
Isle of Wight,Social Rented,13046
Medway,Social Rented,27992
Milton Keynes,Social Rented,35526
Portsmouth,Social Rented,31222
Reading,Social Rented,20484
Slough,Social Rented,20952
Southampton,Social Rented,45734
West Berkshire,Social Rented,17256
Windsor and Maidenhead,Social Rented,15496
Wokingham,Social Rented,8472
Buckinghamshire,Social Rented,50942
East Sussex,Social Rented,51200
Hampshire,Social Rented,150514
Kent,Social Rented,168254
Oxfordshire,Social Rented,73666
Surrey,Social Rented,104172
West Sussex,Social Rented,88288
Bath and North East Somerset,Social Rented,21228
Bournemouth,Social Rented,18412
"Bristol, City of",Social Rented,74166
Cornwall,Social Rented,55310
Isles of Scilly,Social Rented,358
North Somerset,Social Rented,16206
Plymouth,Social Rented,42190
Poole,Social Rented,14648
South Gloucestershire,Social Rented,21266
Swindon,Social Rented,28764
Torbay,Social Rented,9524
Wiltshire,Social Rented,57182
Devon,Social Rented,72084
Dorset,Social Rented,44536
Gloucestershire,Social Rented,65706
Somerset,Social Rented,61460
Isle of Anglesey,Social Rented,8974
Gwynedd,Social Rented,17122
Conwy,Social Rented,11892
Denbighshire,Social Rented,10650
Flintshire,Social Rented,19302
Wrexham,Social Rented,25606
Powys,Social Rented,16322
Ceredigion,Social Rented,6392
Pembrokeshire,Social Rented,16624
Carmarthenshire,Social Rented,23344
Swansea,Social Rented,39756
Neath Port Talbot,Social Rented,23090
Bridgend,Social Rented,16198
Vale of Glamorgan,Social Rented,12708
Cardiff,Social Rented,48748
Rhondda Cynon Taff,Social Rented,27346
Merthyr Tydfil,Social Rented,10236
Caerphilly,Social Rented,27924
Blaenau Gwent,Social Rented,14568
Torfaen,Social Rented,18200
Monmouthshire,Social Rented,10576
Newport,Social Rented,24244
Aberdeen City,Social Rented,50368
Aberdeenshire,Social Rented,33788
Angus,Social Rented,22188
Argyll and Bute,Social Rented,15172
Clackmannanshire,Social Rented,13004
Dumfries and Galloway,Social Rented,26712
Dundee City,Social Rented,41594
East Ayrshire,Social Rented,31158
East Dunbartonshire,Social Rented,10438
East Lothian,Social Rented,20342
East Renfrewshire,Social Rented,8640
City of Edinburgh,Social Rented,75912
Na h-Eileanan Siar,Social Rented,4424
Falkirk,Social Rented,37190
Fife,Social Rented,73914
Glasgow City,Social Rented,209622
Highland,Social Rented,38636
Inverclyde,Social Rented,20186
Midlothian,Social Rented,18634
Moray,Social Rented,15506
North Ayrshire,Social Rented,34846
North Lanarkshire,Social Rented,90832
Orkney Islands,Social Rented,2690
Perth and Kinross,Social Rented,22240
Renfrewshire,Social Rented,39746
Scottish Borders,Social Rented,22900
Shetland Islands,Social Rented,4712
South Ayrshire,Social Rented,19670
South Lanarkshire,Social Rented,62976
Stirling,Social Rented,14938
West Dunbartonshire,Social Rented,31416
West Lothian,Social Rented,38444
Antrim,Social Rented,4770
Ards,Social Rented,8188
Armagh,Social Rented,4058
Ballymena,Social Rented,5556
Ballymoney,Social Rented,2874
Banbridge,Social Rented,3612
Belfast,Social Rented,61636
Carrickfergus,Social Rented,4428
Castlereagh,Social Rented,7764
Coleraine,Social Rented,6470
Cookstown,Social Rented,2104
Craigavon,Social Rented,9420
